"Timestamp","How relevant and helpful do you think it is for your exam?","How satisfied were you with the study materials?","How much satisfied are you with the feature of our app?","Which feature of our app you like the most ?","How much satisfied were you with the UI (User Interface) design our app?","Overall rating for our app","Rate the admins behaviour and responsiveness towards your problem?","What are the problems you faced while using our app?","Any feature you think that is of no importance?","Any feature you want that to be changed or modified?","Any new features you want to see in future inside our app?","The most important thing; What problems are you facing while studying?"
"2026/07/11 12:57:44 AM","5","5","5","All","5","5","5","No","Nothing","You do that","You think that","No problem "
"2026/07/11 08:04:52 AM","5","5","5","Notes;Books and PDF library","5","5","5","No problem ","Nothing","Nothing ","All pdf notes question banks pyqs 3d model practical too","Nothing "
"2026/07/11 08:07:46 AM","2","3","2","Nothing","3","3","3","Too much Overload of features making the app a mess rather than a help😶‍🌫️","I mean nearly 60% of them are unnecessary and keep releasing new ones like seriously 😑","Just remove the unnecessary shit🫤","No","🥱"
"2026/07/11 08:19:36 AM","5","4","5","Notes;Books and PDF library","4","5","5","None","None","None","Haven't thought about it yet","I read from multiple notes .it will help a lot of I can find only 1 trust worthy note"
"2026/07/11 08:58:16 AM","5","5","5","Notes;Books and PDF library","5","5","5","Nothing ","Nothing ","Nothing ","Addition of some more books and pdfs","Nothing "
"2026/07/11 10:51:03 AM","4","4","4","Confession board","5","5","5","Nothing ","No","No","No","No"
"2026/07/11 10:52:23 AM","5","5","5","Notes;Books and PDF library","4","5","5","None ","All are good","All are good as of now","Will surely suggest later","None"
"2026/07/11 11:22:55 AM","5","5","5","Practical hub","5","5","5","To be honest none until now","Everything seems relevant until now - Though confession board should be removed","No","Don't mention unknown author below books and PDFs acknowledge the hard work of people who have managed to look up for those things","Overthinking "
"2026/07/11 11:23:46 AM","5","5","5","Practical hub","4","5","5","No problem ","every feature has utmost importance ","Nothing ","More clinical related questions ","Searching for PYQs"
"2026/07/11 11:26:20 AM","5","4","5","Notes;Books and PDF library","4","4","5","Some PDFs are missing ","No one","PDFs should be able to open externally also","Pomodoro","Lack of consistency "
"2026/07/11 11:30:05 AM","5","5","5","Notes;Books and PDF library","5","5","5","Problem in quiz section ","No","No","May be","Distracted "
"2026/07/11 11:30:07 AM","5","5","5","Games","5","5","5","Nothing ","Everything is important ","Nothing ","Avengers ","Sleeping 😴"
"2026/07/11 11:33:42 AM","4","4","4","Notes;Books and PDF library","4","4","4","No","No","No","No","No"
"2026/07/11 12:00:47 PM","4","4","4","Notes;Books and PDF library","4","4","4","Buffering ","Nothing ","Nothing ","I'll think of it","What to study"
"2026/07/11 02:12:22 PM","5","4","4","Notes;Books and PDF library","3","4","5","Large thumbnails for pds; the interface should show up windows for files and other features ; as much as possible with least scrolling and minimum clicks... It feels overwhelming to explore the entire the entire content and features uploaded in the app... So kindly reduce the size of the thumbnails of files and features; also if possible ; add a number system in the topright of each subject showing the no of contents/pdfs uploaded... Say 5 pdfs uploaded in anatomy;  on the top right it mentions 5 ; so that we are aware of the new pdfs uploaded. ","None; viva (practical hub) is taking lot of time to respond; vivas are quick q with answer","Practical hub; instead of giving another and then another chance to correct ans; AI should answer immediately after first response; it will surely dec time dalay and more q will be discussed; questions should be more clinical based.... The first q it asked me what are the angles of scapula... Then I named ; after 15 -20 sec dalay for recognising what I ans ;  then it is replying me what is the lateral angle correctly named in scientific term;... ; I answered superior angle; ......delay ...... Then it's providing me another chance to correct myself.... ; Ofc it's great initiative from your side sir ; many features which aren't even there in the market yet; introducing de novo; in the own app ; by techyy codes!!!! ; and that too by a 1st yr MEDICAL STUDENT?!!!! HATS OFF! I really don't wish to point out loopholes for the shake of feedback; but want you to improve your techy skills more and more solving new problems; ofc besides time allotted for studying.... Hope you have a great journey ahead! All the best for your future!!! ","Already have more than enough; can't think of anything new😄
","None "
"2026/07/11 04:28:55 PM","5","5","5","Notes;Books and PDF library","3","4","5","UI is a little slow.","Confession board 😂","No","3d anatomy models","Distraction 🫩"
"2026/07/11 05:19:27 PM","3","4","4","Notes;Books and PDF library","3","4","4","Mb pyq of 2022;23;24;25 of ouhs or aiims","Ok","No","Recent year mb pyq","Pyq of recent university exam and other institutions mb not found "
"2026/07/11 05:20:51 PM","5","5","5","Notes;Books and PDF library","5","5","5","Not very seriously but ","I don't think ","The viva ai professor voice ","Handwritten summary notes","Distraction "
"2026/07/11 06:02:45 PM","4","3","5","Quizzes","4","5","5","None till now","Maybe the community centre ","No","Maybe pyqs or question papers from different university ","None"
"2026/07/11 11:48:28 PM","5","5","5","YouTube","5","5","5","Nothing ","No","No","Anything u think is good","Concentration "
